Abs(f18) "f2*(f20 - Abs(f18))/f0"
0.216582 -1.774027
0.375748 -2.316835
0.526595 -4.221973
0.086735 -1.957119
0.094031 -1.387783
0.240370 -1.315776
0.195067 -1.753018
0.402725 -2.343450
0.442842 -4.143691
0.079356 -1.949920
0.107228 -1.400925
0.250255 -1.325692
0.186526 -1.744664
0.414697 -2.355277
0.410784 -4.113967
0.073998 -1.944695
0.109732 -1.403412
0.257521 -1.333008
0.177790 -1.736117
0.425685 -2.366144
0.379940 -4.085460
0.069951 -1.940742
0.118244 -1.411897
0.265733 -1.341243
0.170747 -1.729214
0.436180 -2.376506
0.349130 -4.056897
0.061831 -1.932813
0.130393 -1.424022
0.284403 -1.359988
0.159235 -1.717930
0.454572 -2.394696
0.264400 -3.976938
