Abs(f18) "f2*(f20 - Abs(f18))/f0" f1*f18**2/f2
0.032359 -1.607640 0.001047
0.611730 -2.573672 0.373469
0.254444 -3.934521 0.064795
0.172745 -2.053683 0.029859
0.362474 -1.665880 0.131210
0.869501 -1.957284 0.753518
0.191516 -1.776726 0.036704
0.015876 -1.991156 0.000252
0.268921 -3.946092 0.072386
0.093251 -1.970405 0.008699
0.377896 -1.678111 0.142592
0.965856 -2.052959 0.929188
0.177148 -1.746948 0.031403
0.281911 -3.962513 0.079556
0.113635 -1.987584 0.012919
0.312728 -1.612032 0.097664
0.818581 -1.904113 0.667568
0.092824 -1.665019 0.008613
0.657829 -2.617494 0.431544
0.012665 -3.688871 0.000160
2.316271 -4.203116 5.301377
1.799574 -3.131744 3.207274
4.388733 -5.695438 18.807025
0.167171 -1.724193 0.027922
0.801408 -2.738550 0.639677
0.102499 -3.734214 0.010511
1.331975 -3.234716 1.759427
7.427353 -9.152544 52.576237
10.616429 -12.607201 105.120919
0.105390 -1.646633 0.011100
0.686826 -2.596928 0.469802
0.102280 -3.692673 0.010467
0.085850 -1.959627 0.007372
0.093347 -1.389165 0.008711
0.237876 -1.315094 0.056541
0.194494 -1.755787 0.037851
0.402887 -2.348932 0.162119
0.445262 -4.150461 0.198530
0.024214 -1.913147 0.000586
0.245617 -1.552088 0.060282
0.413875 -1.501936 0.171073
0.171239 -1.758796 0.029338
0.606481 -2.597334 0.367159
0.876054 -4.588535 0.769476
0.003958 -1.912427 0.000016
0.154105 -1.480850 0.023737
0.643482 -1.744491 0.413223
0.824382 -2.441486 0.681319
0.995509 -3.002059 0.993998
4.675152 -8.406367 22.162674
2.003036 -3.918932 4.036816
0.066845 -1.371609 0.004467
0.551005 -1.635174 0.303064
0.274120 -1.848875 0.075207
0.552889 -2.518047 0.305170
4.422937 -8.188015 19.300768
0.120362 -2.001890 0.014493
0.253461 -1.556070 0.064188
0.611897 -1.696236 0.373640
0.232742 -1.808360 0.054210
0.727979 -2.698166 0.528721
3.591168 -7.285675 13.042305
0.690054 -2.582971 0.477297
0.248144 -1.558890 0.061629
0.275860 -1.364471 0.076023
0.306735 -1.886506 0.093987
0.648035 -2.623569 0.419035
0.425943 -4.098881 0.181683
0.171589 -2.045565 0.029461
0.200283 -1.498484 0.040083
0.686108 -1.766508 0.469490
0.366671 -1.930487 0.134630
0.573767 -2.528633 0.328531
0.193042 -3.886043 0.037291
0.270120 -2.141324 0.073050
0.149315 -1.448364 0.022280
0.510563 -1.592134 0.260069
0.032113 -1.604116 0.001031
0.491478 -2.449843 0.241051
0.270189 -3.945220 0.072920
4.588936 -6.575912 20.506604
2.539292 -3.785126 6.548983
0.330197 -1.399356 0.108803
0.228443 -1.777450 0.052117
0.764293 -2.685581 0.581668
0.204901 -3.819340 0.041939
1.639391 -3.540328 2.658922
0.232405 -1.509188 0.053924
0.410157 -1.474655 0.167738
0.082653 -1.618348 0.006828
0.525025 -2.429807 0.274768
0.047330 -3.632505 0.002241
0.175787 -2.044183 0.030920
0.017133 -1.310816 0.000294
0.054752 -1.130959 0.002997
0.366429 -1.919397 0.134438
0.133472 -2.078837 0.017807
0.828812 -4.508901 0.688819
0.023381 -1.914404 0.000547
0.264180 -1.572485 0.069738
0.487522 -1.577709 0.237339
0.103740 -1.694281 0.010765
0.902728 -2.897617 0.812853
0.704212 -4.432358 0.496907
0.203114 -2.114022 0.041232
0.579056 -1.915261 0.334748
0.222414 -1.332849 0.049436
1.136816 -2.763206 1.296551
1.094125 -3.130070 1.193436
0.111070 -3.859519 0.012340
2.757318 -4.732677 7.662593
1.175728 -2.508247 1.387139
0.474543 -1.562045 0.224866
6.078250 -7.755044 36.287264
0.598272 -2.571415 0.357309
3.699924 -7.494185 13.834662
3.524458 -5.453317 12.552888
0.219992 -1.524016 0.048363
0.615867 -1.701259 0.378550
5.536549 -7.141151 31.172595
0.873927 -2.848122 0.761736
5.191642 -8.919829 27.369699
1.700941 -3.580544 2.908918
0.178085 -1.492087 0.031696
1.156584 -2.251211 1.332513
1.022491 -2.590061 1.048951
0.498127 -2.478821 0.247741
0.512718 -4.197088 0.263302
0.346608 -2.219656 0.120280
0.088562 -1.388747 0.007841
0.693722 -1.775795 0.480047
0.512495 -2.076834 0.263116
0.497637 -2.457792 0.247230
0.142345 -3.850590 0.020272
0.334405 -2.210172 0.111977
0.102423 -1.405167 0.010486
0.530741 -1.616289 0.281056
0.400029 -2.368442 0.159769
0.383176 -4.087226 0.146602
0.609760 -2.475638 0.370564
2.205751 -3.476246 4.926534
0.913595 -2.041283 0.830319
0.404736 -1.962189 0.163447
1.074780 -3.005811 1.148652
0.296370 -3.939505 0.087702
1.789637 -3.682614 3.159488
4.480550 -5.991980 19.377080
10.915450 -12.747534 109.067021
0.155464 -1.684170 0.024140
0.601711 -2.491230 0.360517
0.013409 -3.598773 0.000180
0.176835 -2.044709 0.031290
0.001193 -1.295247 0.000001
0.094333 -1.169401 0.008896
0.341489 -1.895336 0.116754
0.203663 -2.147111 0.041450
0.848251 -4.522276 0.721604
0.158427 -2.026861 0.025113
0.009906 -1.304005 0.000098
0.148485 -1.223599 0.022036
0.302611 -1.857629 0.091671
0.238078 -2.181089 0.056636
0.786969 -4.465172 0.620975
0.143188 -2.012032 0.020513
0.024398 -1.318515 0.000595
