materials,property,E,E_tet,E_oct,A,B,C,Cation,Metal,Anion,U,ELN_A,ELN_B,ELN_X,DELNAX,DELNBX,R_AX,R_BX,U_emp,E_site,oxidation_state,E_metal,OCV
CaZr2O4,0.67223805,-475.3341952,-473.6450178,-472.9727798,9.313682103,9.313682103,9.313682103,0.99,0.72,1.4,0.388898971,1,1.33,3.44,5.9536,4.4521,2.39,2.12,0.396405472,0.67223805,2,-2,-0.155411335
AlZr2O4,1.88903528,-481.10394,-475.9729329,-474.4500295,8.765890106,8.765890106,8.765890106,0.53,0.72,1.4,0.367281599,1.61,1.33,3.44,3.3489,4.4521,1.93,2.12,0.379313198,1.52290345,3,-3.75,0.46033569
LiNb2O4,1.8341759,-460.7427089,-458.5823872,-456.7482113,8.633986853,8.633986853,8.633986853,0.76,0.64,1.4,0.37766313,0.98,1.6,3.44,6.0516,3.3856,2.16,2.04,0.392327205,1.8341759,1,-1.906,0.2543217
NaNb2O4,0.69836305,-447.2194523,-447.8559403,-448.1689949,9.018062372,9.018062372,9.018062372,1.02,0.64,1.4,0.38881834,0.93,1.6,3.44,6.3001,3.3856,2.42,2.04,0.400555306,-0.3130546,1,-1.315,-1.95148794
KNb2O4,0.66808801,-437.954272,-437.7689762,-438.0866683,9.429639093,9.429639093,9.429639093,1.38,0.64,1.4,0.400701405,0.82,1.6,3.44,6.8644,3.3856,2.78,2.04,0.409188014,-0.31769212,1,-1.09375,-0.9084542
MgNb2O4,2.5973297,-457.0034527,-457.0531803,-454.7538048,8.757581689,8.757581689,8.757581689,0.72,0.64,1.4,0.376241875,1.31,1.6,3.44,4.5369,3.3856,2.12,2.04,0.390833757,2.29937548,2,-1.595,-0.822363765
CaNb2O4,1.45830282,-459.7940763,-460.0745797,-461.0919819,9.117232874,9.117232874,9.117232874,0.99,0.64,1.4,0.385931509,1,1.6,3.44,5.9536,3.3856,2.39,2.04,0.399712693,-1.01740216,2,-2,-1.14025173
AlNb2O4,1.30180912,-476.1434164,-471.7979654,-470.4961562,8.608891295,8.608891295,8.608891295,0.53,0.64,1.4,0.367491516,1.61,1.6,3.44,3.3489,3.3856,1.93,2.04,0.382477818,1.30180912,3,-3.75,0.198483683
LiMo2O4,2.99894785,-447.2685383,-450.3977117,-447.6770004,8.382664414,8.382664414,8.382664414,0.76,0.54,1.4,0.376145915,0.98,2.16,3.44,6.0516,1.6384,2.16,1.94,0.397057408,2.72071138,1,-1.906,-5.03517346
NaMo2O4,3.18500084,-432.0936439,-437.7761053,-434.5911044,8.9031725,8.9031725,8.9031725,1.02,0.54,1.4,0.391240087,0.93,2.16,3.44,6.3001,1.6384,2.42,1.94,0.405384714,3.18500084,1,-1.315,-6.9974614
KMo2O4,0.94761624,-423.6168779,-422.2052813,-421.257665,9.379667754,9.379667754,9.379667754,1.38,0.54,1.4,0.402749912,0.82,2.16,3.44,6.8644,1.6384,2.78,1.94,0.414121505,0.94761624,1,-1.09375,0.31784666
